Calories (kcal),Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Move Minutes count,Inactive duration (ms),Walking duration (ms),Day
2464.0063971931563,7484.317879438399,0.6251539213311396,2.9500000476837163,0.2629642784595489,14060,172.0,73968473,10568275.0,Saturday
2098.073742838466,3414.60351216793,0.4591342736200225,2.0699999332427983,0.2510583996772766,6843,81.0,76967949,6390812.0,Sunday
2018.4495720646091,3047.626440850699,0.8837084642385509,1.5513161420822144,0.2510583996772766,5675,75.0,70408896,5384259.0,Monday
1990.4327049165836,2092.7231331787466,0.6232549246683746,1.6499999761581419,0.2615191638469696,4836,67.0,78707441,4292872.0,Tuesday
1925.2566980748263,1452.4337569475174,0.7634515214282115,15.1899995803833,0.2741230726242065,3688,53.0,75386000,3207921.0,Wednesday
1934.5998585746775,1139.6360346674921,0.5422656624230353,1.3844552040100098,0.282440721988678,3182,41.0,80525440,3291617.0,Thursday
2131.6500090303475,5342.478942871094,0.6714885388577245,2.25,0.3044806718826294,10229,117.0,79625202,6709808.0,Friday
2020.622335725392,3674.1286857128143,0.6131588262282976,1.306238889694214,0.2554539442062378,7273,82.0,74783581,6610500.0,Saturday
2067.817353138125,7582.886575996877,0.6914112367638213,1.7899999618530271,0.24153488874435425,12813,149.0,71078253,9741501.0,Monday
1859.8884882273849,1609.4226288795471,0.8259359167624614,1.3673648834228516,0.30985164642333984,4499,48.0,80254572,2154424.0,Tuesday
1992.3404598946,3767.2258790135375,0.7158803513477314,1.294477105140686,0.30648794770240784,7783,79.0,81572998,4754509.0,Wednesday
2238.264581659256,6781.3177790641785,0.7273691441051157,1.6499999761581419,0.2510583996772766,12199,135.0,70617694,10136208.0,Thursday
1863.402372686092,1053.6897151470184,0.7538734923551949,1.2388731241226196,0.27301913499832153,2493,30.0,83743081,1988226.0,Friday
2415.538955966691,8275.506109714508,0.66688115615675,1.839166045188904,0.2487403005361557,15001,169.0,75678519,7152954.0,Saturday
1810.4851550505896,450.89955051097314,0.4767525856834398,1.245814323425293,0.3013119101524353,1315,14.0,82770460,1064156.0,Sunday
2104.827512599527,3076.2535572513634,0.5143270317091176,6.380000114440918,0.30082017183303833,6849,92.0,73553944,6553446.0,Monday
1913.9862421739454,810.6830943822861,0.7951477773088212,7.0999999046325675,0.2615191638469696,3071,42.0,78623586,2993874.0,Tuesday
2109.9793762356426,3191.9365710146058,0.5791800373331744,1.4898470640182495,0.2615191638469696,7207,88.0,72882634,6304922.0,Wednesday
1949.109155965964,1111.1790184252627,0.6715768207556997,9.710000038146973,0.2929014563560486,3650,53.0,74634227,3515978.0,Thursday
2286.474412575774,5759.977953732015,0.9632073828704252,12.149999618530273,0.26166269183158875,10211,135.0,70303239,9478265.0,Friday
2180.7152560861186,3028.3781175613403,1.9938025097373224,15.56999969482422,0.2615191638469696,6277,90.0,71778961,7550760.0,Saturday
2012.639094392989,1472.8696974515915,0.4198433432965202,1.4900000095367432,0.2586735188961029,3991,64.0,72382014,5345182.0,Sunday
2099.370855615977,2953.954660475254,1.1127074739208915,18.06999969482422,0.24447210133075714,6467,93.0,70336534,6311065.0,Monday
1971.7227515935147,1945.5719089508054,0.7063023281064335,1.433216214179993,0.2510583996772766,4756,61.0,77461864,3880911.0,Tuesday
